experience_id,employee_id,agency_name,agency_name_normalized,project_name,project_role,discipline,project_type,location_state,year_start,year_end,is_recent_5yr,is_lead_role,contract_value_musd,evidence_quote,source_file_path,last_verified,verified_by,status,notes
EXP-00001,EMP-0001,County/Municipal DOT,County/Municipal DOT,,Project Manager,CM/CI,construction management,NY,,,Unknown,Unknown,,"[experience_summary] JFK NTO, LLC, Special Inspection Services for the New Terminal One at John F. Kennedy International Airport, Queens, NY - Special Inspector. Provided special inspection services f",C:\Users\KSE\Desktop\TalentBridge\Resume 08152025\EngJ_Resume_KSE Format.docx,2025-08-15,AutoSeed,Needs Review,
EXP-00002,EMP-0001,County/Municipal DOT,County/Municipal DOT,,Project Manager,CM/CI,construction management,NY,,,Unknown,Unknown,,"[experience_summary] JFK NTO, LLC, Special Inspection Services for the New Terminal One at John F. Kennedy International Airport, Queens, NY - Special Inspector. Provided special inspection services f",C:\Users\KSE\Desktop\TalentBridge\Resume 08152025\EngJ_Resume_KSE Format.docx,2025-08-15,AutoSeed,Needs Review,Helper synonym only
EXP-00003,EMP-0002,County/Municipal DOT,County/Municipal DOT,,,civil,,NY,,,Unknown,Unknown,,"[experience_summary] JFK NTO, LLC, Special Inspection Services for the New Terminal One at John F. Kennedy International Airport, Queens, NY - Special Inspector. Provided special inspection services f",C:\Users\KSE\Desktop\TalentBridge\Resume 08152025\OlasojiD_Resume_KSE Format.docx,2025-08-15,AutoSeed,Needs Review,
EXP-00004,EMP-0002,County/Municipal DOT,County/Municipal DOT,,,civil,,NY,,,Unknown,Unknown,,"[experience_summary] JFK NTO, LLC, Special Inspection Services for the New Terminal One at John F. Kennedy International Airport, Queens, NY - Special Inspector. Provided special inspection services f",C:\Users\KSE\Desktop\TalentBridge\Resume 08152025\OlasojiD_Resume_KSE Format.docx,2025-08-15,AutoSeed,Needs Review,Helper synonym only
EXP-00005,EMP-0004,DRPA,DRPA,,Project Manager,CM/CI,QA/QC,NJ,,,Unknown,Unknown,,"[education] Responsibilities include, but are not limited to, providing construction inspection services on various road and bridge construction projects throughout the state of New Jersey for the NJD",C:\Users\KSE\Desktop\TalentBridge\Resume 08152025\ParkesK_Resume_NJDOT Format.docx,2025-08-15,AutoSeed,Needs Review,
EXP-00006,EMP-0004,NJDOT,NJDOT,,Project Manager,CM/CI,QA/QC,NJ,,,Unknown,Unknown,,"[education] Responsibilities include, but are not limited to, providing construction inspection services on various road and bridge construction projects throughout the state of New Jersey for the NJD",C:\Users\KSE\Desktop\TalentBridge\Resume 08152025\ParkesK_Resume_NJDOT Format.docx,2025-08-15,AutoSeed,Needs Review,
EXP-00007,EMP-0004,NJTA/Turnpike,NJTA/Turnpike,,Project Manager,CM/CI,QA/QC,NJ,,,Unknown,Unknown,,"[education] Responsibilities include, but are not limited to, providing construction inspection services on various road and bridge construction projects throughout the state of New Jersey for the NJD",C:\Users\KSE\Desktop\TalentBridge\Resume 08152025\ParkesK_Resume_NJDOT Format.docx,2025-08-15,AutoSeed,Needs Review,
EXP-00008,EMP-0004,NYCDOT,NYCDOT,,Project Manager,CM/CI,QA/QC,NJ,,,Unknown,Unknown,,"[education] Responsibilities include, but are not limited to, providing construction inspection services on various road and bridge construction projects throughout the state of New Jersey for the NJD",C:\Users\KSE\Desktop\TalentBridge\Resume 08152025\ParkesK_Resume_NJDOT Format.docx,2025-08-15,AutoSeed,Needs Review,
EXP-00009,EMP-0004,NJTA/Turnpike,NJTA/Turnpike,,Project Manager,CM/CI,QA/QC,NJ,,,Unknown,Unknown,,"[education] Responsibilities include, but are not limited to, providing construction inspection services on various road and bridge construction projects throughout the state of New Jersey for the NJD",C:\Users\KSE\Desktop\TalentBridge\Resume 08152025\ParkesK_Resume_NJDOT Format.docx,2025-08-15,AutoSeed,Needs Review,Helper synonym only
EXP-00010,EMP-0005,SEPTA,SEPTA,,,CM/CI,QA/QC,DE,,,Unknown,Unknown,,"[experience_summary] NHL Toll Supported Bridge Rehab (DRJTBC) - Construction Inspector for this multi-disciplinary, $16 million project. The project included rehabilitation of New Hope - Lambertville ",C:\Users\KSE\Desktop\TalentBridge\Resume 08152025\CuffeeM_Resume_KSE Format.docx,2025-08-15,AutoSeed,Needs Review,
